,0,1,2
mean_fit_time,34.23939719200134,64.6556252002716,38.56442608833313
std_fit_time,0.8259105978902842,1.6451417047858945,0.810229343285937
mean_score_time,0.15558338165283203,0.5333704948425293,0.1689481258392334
std_score_time,0.016302228066252335,0.04656179207067897,0.0643276177470196
param_subsample,0.8,0.8,0.6
param_objective,binary:logistic,binary:logistic,binary:logistic
param_n_estimators,1200,1200,1000
param_min_child_weight,1,1,3
param_max_depth,3,6,6
param_learning_rate,0.05,0.001,0.05
param_eval_metric,auc,auc,auc
param_colsample_bytree,0.5,0.7,0.6
param_colsample_bylevel,0.7,0.6,0.9
params,"{'subsample': 0.8, 'objective': 'binary:logistic', 'n_estimators': 1200, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.05, 'eval_metric': 'auc', 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7}","{'subsample': 0.8, 'objective': 'binary:logistic', 'n_estimators': 1200, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.001, 'eval_metric': 'auc', 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6}","{'subsample': 0.6, 'objective': 'binary:logistic', 'n_estimators': 1000, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.05, 'eval_metric': 'auc', 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9}"
split0_test_AUC,0.7481296758104737,0.7833416458852869,0.7600997506234414
split1_test_AUC,0.8220561035758324,0.8447903822441432,0.8276048088779284
split2_test_AUC,0.8960185185185184,0.8824537037037037,0.9099999999999999
split3_test_AUC,0.8625263955817857,0.9032162001191185,0.8720558774162109
split4_test_AUC,0.8328929680619293,0.8472627821814305,0.847958095767858
mean_test_AUC,0.832324732309708,0.8522129428267367,0.8435437065370877
std_test_AUC,0.04932263989866549,0.040837947821272216,0.049931576979818044
rank_test_AUC,3,1,2
split0_train_AUC,1.0,0.9432948806762848,1.0
split1_train_AUC,1.0,0.9225202565420676,0.9999969400993856
split2_train_AUC,1.0,0.9184506007212072,0.9999965819561465
split3_train_AUC,1.0,0.9134741430163204,1.0
split4_train_AUC,1.0,0.9286893144169264,1.0
mean_train_AUC,1.0,0.9252858390745613,0.9999987044111064
std_train_AUC,0.0,0.010293632183851866,1.5908024798075382e-06
